Year,DNSP,Connection,DLF
2020,Evoenergy,HV,1.0111
2021,Evoenergy,HV,1.0111
2022,Evoenergy,HV,1.0111
2023,Evoenergy,HV,1.0111
2024,Evoenergy,HV,1.0111
2025,Evoenergy,HV,1.0111
2026,Evoenergy,HV,1.0111
2027,Evoenergy,HV,1.0111
2028,Evoenergy,HV,1.0111
2029,Evoenergy,HV,1.0111
2030,Evoenergy,HV,1.0111
2031,Evoenergy,HV,1.0111
2032,Evoenergy,HV,1.0111
2033,Evoenergy,HV,1.0111
2034,Evoenergy,HV,1.0111
2035,Evoenergy,HV,1.0111
2036,Evoenergy,HV,1.0111
2037,Evoenergy,HV,1.0111
2038,Evoenergy,HV,1.0111
2039,Evoenergy,HV,1.0111
2040,Evoenergy,HV,1.0111
2041,Evoenergy,HV,1.0111
2042,Evoenergy,HV,1.0111
2043,Evoenergy,HV,1.0111
2044,Evoenergy,HV,1.0111
2045,Evoenergy,HV,1.0111
2046,Evoenergy,HV,1.0111
2047,Evoenergy,HV,1.0111
2048,Evoenergy,HV,1.0111
2049,Evoenergy,HV,1.0111
2050,Evoenergy,HV,1.0111
2021,None,None,1
2022,None,None,1
2023,None,None,1
2024,None,None,1
2025,None,None,1
2026,None,None,1
2027,None,None,1
2028,None,None,1
2029,None,None,1
2030,None,None,1
2031,None,None,1
2032,None,None,1
2033,None,None,1
2034,None,None,1
2035,None,None,1
2036,None,None,1
2037,None,None,1
2038,None,None,1
2039,None,None,1
2040,None,None,1
2041,None,None,1
2042,None,None,1
2043,None,None,1
2044,None,None,1
2045,None,None,1
2046,None,None,1
2047,None,None,1
2048,None,None,1
2049,None,None,1
2050,None,None,1
2051,None,None,1
2052,None,None,1
2053,None,None,1
2054,None,None,1
2055,None,None,1
2021,Energex,110kV,1.0039
2021,Energex,33kV,1.0084
2021,Energex,11kV bus,1.0123
2021,Energex,11kV,1.0196
2021,Energex,LV bus,1.0382
2021,Energex,LV line,1.052
2022,Energex,110kV,1.0031
2022,Energex,33kV,1.0089
2022,Energex,11kV bus,1.013
2022,Energex,11kV,1.0202
2022,Energex,LV bus,1.0434
2022,Energex,LV line,1.0587
2023,Energex,110kV,1.0024
2023,Energex,33kV,1.0094
2023,Energex,11kV bus,1.0137
2023,Energex,11kV,1.0208
2023,Energex,LV bus,1.0488
2023,Energex,LV line,1.0655
2024,Energex,110kV,1.0016
2024,Energex,33kV,1.0099
2024,Energex,11kV bus,1.0144
2024,Energex,11kV,1.0214
2024,Energex,LV bus,1.0541
2024,Energex,LV line,1.0723
2025,Energex,110kV,1.0009
2025,Energex,33kV,1.0104
2025,Energex,11kV bus,1.0151
2025,Energex,11kV,1.022
2025,Energex,LV bus,1.0595
2025,Energex,LV line,1.0791
2026,Energex,110kV,1.0001
2026,Energex,33kV,1.0109
2026,Energex,11kV bus,1.0158
2026,Energex,11kV,1.0227
2026,Energex,LV bus,1.0649
2026,Energex,LV line,1.086
2027,Energex,110kV,0.9993
2027,Energex,33kV,1.0114
2027,Energex,11kV bus,1.0165
2027,Energex,11kV,1.0233
2027,Energex,LV bus,1.0703
2027,Energex,LV line,1.0929
2028,Energex,110kV,0.9986
2028,Energex,33kV,1.0119
2028,Energex,11kV bus,1.0173
2028,Energex,11kV,1.0239
2028,Energex,LV bus,1.0758
2028,Energex,LV line,1.0999
2029,Energex,110kV,0.9978
2029,Energex,33kV,1.0124
2029,Energex,11kV bus,1.018
2029,Energex,11kV,1.0245
2029,Energex,LV bus,1.0812
2029,Energex,LV line,1.1069
2030,Energex,110kV,0.9971
2030,Energex,33kV,1.0129
2030,Energex,11kV bus,1.0187
2030,Energex,11kV,1.0251
2030,Energex,LV bus,1.0867
2030,Energex,LV line,1.114
2031,Energex,110kV,0.9963
2031,Energex,33kV,1.0134
2031,Energex,11kV bus,1.0194
2031,Energex,11kV,1.0257
2031,Energex,LV bus,1.0923
2031,Energex,LV line,1.1211
2032,Energex,110kV,0.9956
2032,Energex,33kV,1.0138
2032,Energex,11kV bus,1.0201
2032,Energex,11kV,1.0263
2032,Energex,LV bus,1.0978
2032,Energex,LV line,1.1282
2033,Energex,110kV,0.9948
2033,Energex,33kV,1.0143
2033,Energex,11kV bus,1.0208
2033,Energex,11kV,1.0269
2033,Energex,LV bus,1.1034
2033,Energex,LV line,1.1354
2034,Energex,110kV,0.9941
2034,Energex,33kV,1.0148
2034,Energex,11kV bus,1.0215
2034,Energex,11kV,1.0276
2034,Energex,LV bus,1.1091
2034,Energex,LV line,1.1426
2035,Energex,110kV,0.9933
2035,Energex,33kV,1.0153
2035,Energex,11kV bus,1.0223
2035,Energex,11kV,1.0282
2035,Energex,LV bus,1.1147
2035,Energex,LV line,1.1499
2036,Energex,110kV,0.9926
2036,Energex,33kV,1.0158
2036,Energex,11kV bus,1.023
2036,Energex,11kV,1.0288
2036,Energex,LV bus,1.1204
2036,Energex,LV line,1.1573
2037,Energex,110kV,0.9918
2037,Energex,33kV,1.0163
2037,Energex,11kV bus,1.0237
2037,Energex,11kV,1.0294
2037,Energex,LV bus,1.1261
2037,Energex,LV line,1.1647
2038,Energex,110kV,0.9911
2038,Energex,33kV,1.0168
2038,Energex,11kV bus,1.0244
2038,Energex,11kV,1.03
2038,Energex,LV bus,1.1318
2038,Energex,LV line,1.1721
2039,Energex,110kV,0.9903
2039,Energex,33kV,1.0173
2039,Energex,11kV bus,1.0251
2039,Energex,11kV,1.0306
2039,Energex,LV bus,1.1376
2039,Energex,LV line,1.1796
2040,Energex,110kV,0.9896
2040,Energex,33kV,1.0178
2040,Energex,11kV bus,1.0259
2040,Energex,11kV,1.0313
2040,Energex,LV bus,1.1434
2040,Energex,LV line,1.1871
2041,Energex,110kV,0.9888
2041,Energex,33kV,1.0183
2041,Energex,11kV bus,1.0266
2041,Energex,11kV,1.0319
2041,Energex,LV bus,1.1492
2041,Energex,LV line,1.1947
2042,Energex,110kV,0.9881
2042,Energex,33kV,1.0188
2042,Energex,11kV bus,1.0273
2042,Energex,11kV,1.0325
2042,Energex,LV bus,1.1551
2042,Energex,LV line,1.2023
2043,Energex,110kV,0.9873
2043,Energex,33kV,1.0193
2043,Energex,11kV bus,1.028
2043,Energex,11kV,1.0331
2043,Energex,LV bus,1.161
2043,Energex,LV line,1.2099
2044,Energex,110kV,0.9866
2044,Energex,33kV,1.0198
2044,Energex,11kV bus,1.0287
2044,Energex,11kV,1.0337
2044,Energex,LV bus,1.1669
2044,Energex,LV line,1.2177
2045,Energex,110kV,0.9858
2045,Energex,33kV,1.0203
2045,Energex,11kV bus,1.0295
2045,Energex,11kV,1.0343
2045,Energex,LV bus,1.1728
2045,Energex,LV line,1.2254
2046,Energex,110kV,0.9851
2046,Energex,33kV,1.0208
2046,Energex,11kV bus,1.0302
2046,Energex,11kV,1.035
2046,Energex,LV bus,1.1788
2046,Energex,LV line,1.2332
2047,Energex,110kV,0.9843
2047,Energex,33kV,1.0213
2047,Energex,11kV bus,1.0309
2047,Energex,11kV,1.0356
2047,Energex,LV bus,1.1848
2047,Energex,LV line,1.2411
2048,Energex,110kV,0.9836
2048,Energex,33kV,1.0218
2048,Energex,11kV bus,1.0316
2048,Energex,11kV,1.0362
2048,Energex,LV bus,1.1909
2048,Energex,LV line,1.249
2049,Energex,110kV,0.9828
2049,Energex,33kV,1.0223
2049,Energex,11kV bus,1.0323
2049,Energex,11kV,1.0368
2049,Energex,LV bus,1.1969
2049,Energex,LV line,1.257
2050,Energex,110kV,0.9821
2050,Energex,33kV,1.0227
2050,Energex,11kV bus,1.0331
2050,Energex,11kV,1.0374
2050,Energex,LV bus,1.203
2050,Energex,LV line,1.265
2020,Ausgrid,ST Connection,1.0059
2021,Ausgrid,ST Connection,1.0059
2022,Ausgrid,ST Connection,1.0059
2023,Ausgrid,ST Connection,1.0059
2024,Ausgrid,ST Connection,1.0059
2025,Ausgrid,ST Connection,1.0059
2026,Ausgrid,ST Connection,1.0059
2027,Ausgrid,ST Connection,1.0059
2028,Ausgrid,ST Connection,1.0059
2029,Ausgrid,ST Connection,1.0059
2030,Ausgrid,ST Connection,1.0059
2031,Ausgrid,ST Connection,1.0059
2032,Ausgrid,ST Connection,1.0059
2033,Ausgrid,ST Connection,1.0059
2034,Ausgrid,ST Connection,1.0059
2035,Ausgrid,ST Connection,1.0059
2036,Ausgrid,ST Connection,1.0059
2037,Ausgrid,ST Connection,1.0059
2038,Ausgrid,ST Connection,1.0059
2039,Ausgrid,ST Connection,1.0059
2040,Ausgrid,ST Connection,1.0059
2041,Ausgrid,ST Connection,1.0059
2042,Ausgrid,ST Connection,1.0059
2043,Ausgrid,ST Connection,1.0059
2044,Ausgrid,ST Connection,1.0059
2045,Ausgrid,ST Connection,1.0059
2046,Ausgrid,ST Connection,1.0059
2047,Ausgrid,ST Connection,1.0059
2048,Ausgrid,ST Connection,1.0059
2049,Ausgrid,ST Connection,1.0059
2050,Ausgrid,ST Connection,1.0059
2021,SAPN,Sub-transmission,1.0149
2022,SAPN,Sub-transmission,1.0149
2023,SAPN,Sub-transmission,1.0128
2024,SAPN,Sub-transmission,1.0128
2025,SAPN,Sub-transmission,1.0128
2026,SAPN,Sub-transmission,1.0128
2027,SAPN,Sub-transmission,1.0128
2028,SAPN,Sub-transmission,1.0128
2029,SAPN,Sub-transmission,1.0128
2030,SAPN,Sub-transmission,1.0128
2031,SAPN,Sub-transmission,1.0128
2032,SAPN,Sub-transmission,1.0128
2033,SAPN,Sub-transmission,1.0128
2034,SAPN,Sub-transmission,1.0128
2035,SAPN,Sub-transmission,1.0128
2036,SAPN,Sub-transmission,1.0128
2037,SAPN,Sub-transmission,1.0128
2038,SAPN,Sub-transmission,1.0128
2039,SAPN,Sub-transmission,1.0128
2040,SAPN,Sub-transmission,1.0128
2041,SAPN,Sub-transmission,1.0128
2042,SAPN,Sub-transmission,1.0128
2043,SAPN,Sub-transmission,1.0128
2044,SAPN,Sub-transmission,1.0128
2045,SAPN,Sub-transmission,1.0128
2046,SAPN,Sub-transmission,1.0128
2047,SAPN,Sub-transmission,1.0128
2048,SAPN,Sub-transmission,1.0128
2049,SAPN,Sub-transmission,1.0128
2050,SAPN,Sub-transmission,1.0128
2051,SAPN,Sub-transmission,1.0128
2047,SAPN,Sub-transmission,1.0128
2048,SAPN,Sub-transmission,1.0128
2049,SAPN,Sub-transmission,1.0128
2050,SAPN,Sub-transmission,1.0128
2051,SAPN,Sub-transmission,1.0128
2052,SAPN,Sub-transmission,1.0128
2053,SAPN,Sub-transmission,1.0128
2053,SAPN,Sub-transmission,1.0128
2021,Ergon,Subtransmission Line,1.011
2022,Ergon,Subtransmission Line,1.011
2023,Ergon,Subtransmission Line,1.011
2024,Ergon,Subtransmission Line,1.011
2025,Ergon,Subtransmission Line,1.011
2026,Ergon,Subtransmission Line,1.011
2027,Ergon,Subtransmission Line,1.011
2028,Ergon,Subtransmission Line,1.011
2029,Ergon,Subtransmission Line,1.011
2030,Ergon,Subtransmission Line,1.011
2031,Ergon,Subtransmission Line,1.011
2032,Ergon,Subtransmission Line,1.011
2033,Ergon,Subtransmission Line,1.011
2034,Ergon,Subtransmission Line,1.011
2035,Ergon,Subtransmission Line,1.011
2036,Ergon,Subtransmission Line,1.011
2037,Ergon,Subtransmission Line,1.011
2038,Ergon,Subtransmission Line,1.011
2039,Ergon,Subtransmission Line,1.011
2040,Ergon,Subtransmission Line,1.011
2041,Ergon,Subtransmission Line,1.011
2042,Ergon,Subtransmission Line,1.011
2043,Ergon,Subtransmission Line,1.011
2044,Ergon,Subtransmission Line,1.011
2045,Ergon,Subtransmission Line,1.011
2046,Ergon,Subtransmission Line,1.011
2047,Ergon,Subtransmission Line,1.011
2048,Ergon,Subtransmission Line,1.011
2049,Ergon,Subtransmission Line,1.011
2050,Ergon,Subtransmission Line,1.011
2020,Powercor,KKS,0.9797
2021,Powercor,KKS,0.9797
2022,Powercor,KKS,0.9797
2023,Powercor,KKS,0.9797
2024,Powercor,KKS,0.9797
2025,Powercor,KKS,0.9797
2026,Powercor,KKS,0.9797
2027,Powercor,KKS,0.9797
2028,Powercor,KKS,0.9797
2029,Powercor,KKS,0.9797
2030,Powercor,KKS,0.9797
2031,Powercor,KKS,0.9797
2032,Powercor,KKS,0.9797
2033,Powercor,KKS,0.9797
2034,Powercor,KKS,0.9797
2035,Powercor,KKS,0.9797
2036,Powercor,KKS,0.9797
2037,Powercor,KKS,0.9797
2038,Powercor,KKS,0.9797
2039,Powercor,KKS,0.9797
2040,Powercor,KKS,0.9797
2041,Powercor,KKS,0.9797
2042,Powercor,KKS,0.9797
2043,Powercor,KKS,0.9797
2044,Powercor,KKS,0.9797
2045,Powercor,KKS,0.9797
2046,Powercor,KKS,0.9797
2047,Powercor,KKS,0.9797
2048,Powercor,KKS,0.9797
2049,Powercor,KKS,0.9797
2050,Powercor,KKS,0.9797
2020,Powercor,Short sub-transmission,1.0035
2021,Powercor,Short sub-transmission,1.0035
2022,Powercor,Short sub-transmission,1.0035
2023,Powercor,Short sub-transmission,1.0035
2024,Powercor,Short sub-transmission,1.0035
2025,Powercor,Short sub-transmission,1.0035
2026,Powercor,Short sub-transmission,1.0035
2027,Powercor,Short sub-transmission,1.0035
2028,Powercor,Short sub-transmission,1.0035
2029,Powercor,Short sub-transmission,1.0035
2030,Powercor,Short sub-transmission,1.0035
2031,Powercor,Short sub-transmission,1.0035
2032,Powercor,Short sub-transmission,1.0035
2033,Powercor,Short sub-transmission,1.0035
2034,Powercor,Short sub-transmission,1.0035
2035,Powercor,Short sub-transmission,1.0035
2036,Powercor,Short sub-transmission,1.0035
2037,Powercor,Short sub-transmission,1.0035
2038,Powercor,Short sub-transmission,1.0035
2039,Powercor,Short sub-transmission,1.0035
2040,Powercor,Short sub-transmission,1.0035
2041,Powercor,Short sub-transmission,1.0035
2042,Powercor,Short sub-transmission,1.0035
2043,Powercor,Short sub-transmission,1.0035
2044,Powercor,Short sub-transmission,1.0035
2045,Powercor,Short sub-transmission,1.0035
2046,Powercor,Short sub-transmission,1.0035
2047,Powercor,Short sub-transmission,1.0035
2048,Powercor,Short sub-transmission,1.0035
2049,Powercor,Short sub-transmission,1.0035
2050,Powercor,Short sub-transmission,1.0035
2021,SAPN,11kV,1.051
2022,SAPN,11kV,1.051
2023,SAPN,11kV,1.051
2024,SAPN,11kV,1.051
2025,SAPN,11kV,1.051
2026,SAPN,11kV,1.051
2027,SAPN,11kV,1.051
2028,SAPN,11kV,1.051
2029,SAPN,11kV,1.051
2030,SAPN,11kV,1.051
2031,SAPN,11kV,1.051
2032,SAPN,11kV,1.051
2033,SAPN,11kV,1.051
2034,SAPN,11kV,1.051
2035,SAPN,11kV,1.051
2036,SAPN,11kV,1.051
2037,SAPN,11kV,1.051
2038,SAPN,11kV,1.051
2039,SAPN,11kV,1.051
2040,SAPN,11kV,1.051
2041,SAPN,11kV,1.051
2042,SAPN,11kV,1.051
2043,SAPN,11kV,1.051
2044,SAPN,11kV,1.051
2045,SAPN,11kV,1.051
2046,SAPN,11kV,1.051
2047,SAPN,11kV,1.051
2048,SAPN,11kV,1.051
2049,SAPN,11kV,1.051
2050,SAPN,11kV,1.051
2021,Ausnet,22kV,1.0519
2022,Ausnet,22kV,1.0519
2023,Ausnet,22kV,1.0519
2024,Ausnet,22kV,1.0519
2025,Ausnet,22kV,1.0519
2026,Ausnet,22kV,1.0519
2027,Ausnet,22kV,1.0519
2028,Ausnet,22kV,1.0519
2029,Ausnet,22kV,1.0519
2030,Ausnet,22kV,1.0519
2031,Ausnet,22kV,1.0519
2032,Ausnet,22kV,1.0519
2033,Ausnet,22kV,1.0519
2034,Ausnet,22kV,1.0519
2035,Ausnet,22kV,1.0519
2036,Ausnet,22kV,1.0519
2037,Ausnet,22kV,1.0519
2038,Ausnet,22kV,1.0519
2039,Ausnet,22kV,1.0519
2040,Ausnet,22kV,1.0519
2041,Ausnet,22kV,1.0519
2042,Ausnet,22kV,1.0519
2043,Ausnet,22kV,1.0519
2044,Ausnet,22kV,1.0519
2045,Ausnet,22kV,1.0519
2046,Ausnet,22kV,1.0519
2047,Ausnet,22kV,1.0519
2048,Ausnet,22kV,1.0519
2049,Ausnet,22kV,1.0519
2050,Ausnet,22kV,1.0519
2051,Ausnet,22kV,1.0519
2052,Ausnet,22kV,1.0519
2053,Ausnet,22kV,1.0519
2054,Ausnet,22kV,1.0519
2055,Ausnet,22kV,1.0519
2022,None,Transmission,1
2023,None,Transmission,1
2024,None,Transmission,1
2025,None,Transmission,1
2026,None,Transmission,1
2027,None,Transmission,1
2028,None,Transmission,1
2029,None,Transmission,1
2030,None,Transmission,1
2031,None,Transmission,1
2032,None,Transmission,1
2033,None,Transmission,1
2034,None,Transmission,1
2035,None,Transmission,1
2036,None,Transmission,1
2037,None,Transmission,1
2038,None,Transmission,1
2039,None,Transmission,1
2040,None,Transmission,1
2041,None,Transmission,1
2042,None,Transmission,1
2043,None,Transmission,1
2044,None,Transmission,1
2045,None,Transmission,1
2046,None,Transmission,1
2047,None,Transmission,1
2048,None,Transmission,1
2049,None,Transmission,1
2050,None,Transmission,1
2051,None,Transmission,1
2052,None,Transmission,1
2053,None,Transmission,1
2054,None,Transmission,1
2055,None,Transmission,1
2056,None,Transmission,1
2022,Essential,HV,1.0253
2023,Essential,HV,1.0253
2024,Essential,HV,1.0253
2025,Essential,HV,1.0253
2026,Essential,HV,1.0253
2027,Essential,HV,1.0253
2028,Essential,HV,1.0253
2029,Essential,HV,1.0253
2030,Essential,HV,1.0253
2031,Essential,HV,1.0253
2032,Essential,HV,1.0253
2033,Essential,HV,1.0253
2034,Essential,HV,1.0253
2035,Essential,HV,1.0253
2036,Essential,HV,1.0253
2037,Essential,HV,1.0253
2038,Essential,HV,1.0253
2039,Essential,HV,1.0253
2040,Essential,HV,1.0253
2041,Essential,HV,1.0253
2042,Essential,HV,1.0253
2043,Essential,HV,1.0253
2044,Essential,HV,1.0253
2045,Essential,HV,1.0253
2046,Essential,HV,1.0253
2047,Essential,HV,1.0253
2048,Essential,HV,1.0253
2049,Essential,HV,1.0253
2050,Essential,HV,1.0253
2051,Essential,HV,1.0253
2052,Essential,HV,1.0253
2053,Essential,HV,1.0253
2054,Essential,HV,1.0253
2055,Essential,HV,1.0253
2056,Essential,HV,1.0253
2021,Ausnet,HV,1.0016
2022,Ausnet,HV,1.0016
2023,Ausnet,HV,1.0016
2024,Ausnet,HV,1.0016
2025,Ausnet,HV,1.0016
2026,Ausnet,HV,1.0016
2027,Ausnet,HV,1.0016
2028,Ausnet,HV,1.0016
2029,Ausnet,HV,1.0016
2030,Ausnet,HV,1.0016
2031,Ausnet,HV,1.0016
2032,Ausnet,HV,1.0016
2033,Ausnet,HV,1.0016
2034,Ausnet,HV,1.0016
2035,Ausnet,HV,1.0016
2036,Ausnet,HV,1.0016
2037,Ausnet,HV,1.0016
2038,Ausnet,HV,1.0016
2039,Ausnet,HV,1.0016
2040,Ausnet,HV,1.0016
2041,Ausnet,HV,1.0016
2042,Ausnet,HV,1.0016
2043,Ausnet,HV,1.0016
2044,Ausnet,HV,1.0016
2045,Ausnet,HV,1.0016
2046,Ausnet,HV,1.0016
2047,Ausnet,HV,1.0016
2048,Ausnet,HV,1.0016
2049,Ausnet,HV,1.0016
2050,Ausnet,HV,1.0016
2051,Ausnet,HV,1.0016
2052,Ausnet,HV,1.0016
2053,Ausnet,HV,1.0016
2054,Ausnet,HV,1.0016
2055,Ausnet,HV,1.0016
2021,Ausnet,None,1
2022,Ausnet,None,1
2023,Ausnet,None,1
2024,Ausnet,None,1
2025,Ausnet,None,1
2026,Ausnet,None,1
2027,Ausnet,None,1
2028,Ausnet,None,1
2029,Ausnet,None,1
2030,Ausnet,None,1
2031,Ausnet,None,1
2032,Ausnet,None,1
2033,Ausnet,None,1
2034,Ausnet,None,1
2035,Ausnet,None,1
2036,Ausnet,None,1
2037,Ausnet,None,1
2038,Ausnet,None,1
2039,Ausnet,None,1
2040,Ausnet,None,1
2041,Ausnet,None,1
2042,Ausnet,None,1
2043,Ausnet,None,1
2044,Ausnet,None,1
2045,Ausnet,None,1
2046,Ausnet,None,1
2047,Ausnet,None,1
2048,Ausnet,None,1
2049,Ausnet,None,1
2050,Ausnet,None,1
2051,Ausnet,None,1
2052,Ausnet,None,1
2053,Ausnet,None,1
2054,Ausnet,None,1
2055,Ausnet,None,1
